CPValue	Delta T

-10	100
0.253165	128.205
0.506329	128.205
0.759494	128.205
1.01266	128.205
1.26582	128.205
1.51899	128.205
1.77215	128.205
2.02532	128.205
2.27848	128.205
2.53165	128.205
2.78481	128.205
3.03797	128.205
3.29114	128.205
3.5443	128.205
3.79747	128.205
4.05063	128.205
4.3038	128.205
4.55696	128.205
4.81013	128.205
5.06329	128.205
5.31646	128.205
5.56962	128.205
5.82278	128.205
6.07595	128.205
6.32911	128.205
6.58228	128.205
6.83544	128.205
7.08861	128.205
7.34177	128.205
7.59494	128.205
7.8481	128.205
8.10127	128.205
8.35443	128.205
8.60759	128.205
8.86076	128.205
9.11392	128.205
9.36709	128.205
9.62025	128.205
9.87342	128.205
10.1266	128.205
10.3797	128.205
10.6329	128.205
10.8861	128.205
11.1392	128.205
11.3924	128.205
11.6456	128.205
11.8987	128.205
12.1519	128.205
12.4051	128.205
12.6582	128.205
12.9114	128.205
13.1646	128.205
13.4177	128.205
13.6709	128.205
13.9241	128.205
14.1772	128.205
14.4304	128.205
14.6835	128.205
14.9367	128.205
15.1899	128.205
15.443	128.205
15.6962	128.205
15.9494	128.205
16.2025	128.205
16.4557	128.205
16.7089	128.205
16.962	128.205
17.2152	128.205
17.4684	128.205
17.7215	128.205
17.9747	128.205
18.2278	128.205
18.481	128.205
18.7342	128.205
18.9873	128.205
19.2405	128.205
19.4937	128.205
19.7468	128.205
20	100
